timestamp,file_type_name,chunking_strategy_name,total_processing_time_seconds,llm_evaluation_score_1_to_5,avg_cosine_similarity_chunks_vs_original,number_of_chunks,chunking_method,chunking_params,file_type_description,test_file_path,chunks_output_file,evaluation_module_runtime_seconds
20250526_165124_112079,chapter_text,simple_chunk_100_overlap_10,643.603,N/A,0.4212,6,simple_split,"{'chunk_size': 100, 'chunk_overlap': 10}",Long text with chapter-like structure. Example: a novel or a textbook chapter.,data/chapter_book.txt,chapter_text_simple_chunk_100_overlap_10_20250526_165124_112079_chunks.txt,0.0253
20250526_165126_349178,itemized_text,recursive_char_split_150_overlap_15,2.228,N/A,1.0,1,recursive_character_text_splitter,"{'chunk_size': 150, 'chunk_overlap': 15, 'separators': ['\n\n', '\n', ' ', '']}",Text structured with clear itemization or bullet points. Example: a list of rules or product features.,data/rules.txt,itemized_text_recursive_char_split_150_overlap_15_20250526_165126_349178_chunks.txt,0.0072
